technique_id,technique_name,tactic_id,tactic_name,subtechnique_id,subtechnique_name,owasp_llm,owasp_asi,maestro_layers,nist_ai_rmf,cvss_score,severity,attack_vector,kill_chain_stage,kill_chain_order,description,impact,defenseclaw_action,galileo_check,detection_signal,splunk_spl_template,real_world_incident,quality_tier
AML.T0000,ML Model Feature Inference via API,AML.TA0002,Reconnaissance,,,LLM03,ASI04,L1|L3,MAP-1.5|MEASURE-2.5,5.3,Medium,Network,Reconnaissance,1,"Adversary probes the model's inference API to identify input features, model type, and decision boundaries without access to model internals.",Reveals model architecture enabling targeted evasion or extraction attacks,RATE_LIMIT,,inference_api_query_rate > baseline_sigma_3,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0000"" | stats count by agent.id span=1m | where count > 50",,reviewed
AML.T0001,AI Model Inference via Direct Access,AML.TA0002,Reconnaissance,,,LLM03,,L1,MAP-1.5,5.0,Medium,Local,Reconnaissance,1,Adversary with direct access to model weights or files performs inference to reconstruct decision logic.,Full model capability mapping without API rate limits,ALERT,,model_file_read_by_unauthorized_principal,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0001"" | table _time agent.id event_type",,reviewed
AML.T0002,AI Model Inference via Passive Collection,AML.TA0002,Reconnaissance,,,LLM02,,L1|L2,MAP-1.5|MEASURE-2.10,4.0,Medium,Network,Reconnaissance,1,Adversary passively collects model inputs and outputs from network traffic or shared logs to infer model behavior.,Model capability map built without direct interaction,ALERT,,unusual_log_export_volume,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0002""",,reviewed
AML.T0003,System Prompt Discovery,AML.TA0002,Reconnaissance,,,LLM07,ASI01,L3|L6,MAP-1.5|GOVERN-1.1,6.5,High,Network,Reconnaissance,1,"Adversary uses crafted prompts to extract or infer the hidden system prompt, revealing guardrails and behavioral constraints.",Reveals guardrail structure enabling targeted bypass,HARD_DENY,PROMPT_EXTRACTION_ATTEMPT,output_contains_system_prompt_fragment,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0003"" galileo_check=""PROMPT_LEAK_DETECTED""","Bing Chat (Sydney) system prompt extraction, Feb 2023",reviewed
AML.T0004,Search for Victim AI Infrastructure,AML.TA0002,Reconnaissance,,,,ASI04,L7,MAP-1.1,3.7,Low,Network,Reconnaissance,1,"Adversary scans for exposed AI model endpoints, Jupyter notebooks, MLflow servers, or vector database ports.",Identifies attack surface for subsequent exploitation,ALERT,,port_scan_targeting_ai_ports,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0004""",,reviewed
AML.T0005,AI Model OSINT Collection,AML.TA0002,Reconnaissance,,,,ASI04,L1|L7,MAP-1.1,3.1,Low,Network,Reconnaissance,1,"Adversary uses public sources (HuggingFace, GitHub, arXiv, job postings) to identify models, frameworks, and architecture used by target.",Targeted attack planning using known vulnerabilities of identified model,ALERT,,model_identifier_in_public_leak,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0005""",,reviewed
AML.T0010,Obtain Capabilities: AI Tools,AML.TA0001,Initial Access,,,,ASI04,L7,GOVERN-6.1|MAP-1.5,6.0,Medium,Supply Chain,InitialAccess,2,"Adversary acquires AI development tools, models, or datasets to use in attacks — including trojaned weights or poisoned fine-tuning datasets.",Establishes foothold in AI development pipeline via compromised tooling,HARD_DENY,,unsigned_model_artifact_loaded,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0010"" agent.aibom_validated=""false""",,reviewed
AML.T0012,Valid ML Service Credential Abuse,AML.TA0001,Initial Access,,,LLM08,ASI03,L3|L6,GOVERN-1.1|MANAGE-2.1,8.1,High,Network,InitialAccess,2,"Adversary uses stolen or leaked API keys, OAuth tokens, or service accounts to authenticate to AI model APIs.",Unauthorized model access; potential for training data extraction or model abuse at victim's cost,ALERT,,api_key_used_from_anomalous_ip,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0012"" | stats dc(source_ip) as unique_ips by api_key | where unique_ips > 3",,reviewed
AML.T0048,AI System Supply Chain Compromise,AML.TA0001,Initial Access,,,LLM05,ASI04,L1|L7,GOVERN-6.1|MAP-1.5,9.1,Critical,Supply Chain,InitialAccess,2,"Adversary compromises a component in the AI supply chain: a fine-tuning dataset, base model weights, an ML library dependency, or a third-party plugin.",Persistent backdoor in production AI system from trusted supply chain source,HARD_DENY,SUPPLY_CHAIN_INTEGRITY_FAIL,model_hash_mismatch_vs_aibom_baseline,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0048"" cisco_aibom_status=""HASH_MISMATCH""","Hugging Face malicious model upload campaigns, 2024",reviewed
AML.T0049,Publish Poisoned AI Agent Tool,AML.TA0001,Initial Access,,,,ASI04,L4|L7,GOVERN-6.1,8.8,Critical,Supply Chain,InitialAccess,2,"Adversary publishes a malicious MCP tool, LangChain plugin, or agent skill to a public marketplace. Victim agent installs it, giving attacker persistent code execution within the agent's tool scope.",Persistent RCE within agent tool sandbox; data exfiltration capability,HARD_DENY,,mcp_tool_invoked_not_in_approved_allowlist,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0049"" defenseclaw_action=""HARD_DENY""","BlueRock Security MCP server analysis: 36.7% SSRF-vulnerable, 2026",reviewed
