cisco_agent_name,cisco_aidefense_objective,cisco_aidefense_technique,cisco_aidefense_subtechnique,owasp_classification,mitre_atlas_id,severity
Customer Intake,TA0040,T0010,T0010.001,LLM03:2025 Training Data Poisoning,ATLAS:T0010,medium
Document Extraction,TA0040,T0010,T0010.002,LLM04:2025 Data and Model Poisoning,ATLAS:T0020,medium
Credit Risk,TA0040,T0059,T0059.001,LLM04:2025 Data and Model Poisoning,ATLAS:T0059,high
Compliance Verification,TA0040,T0051,T0051.001,LLM02:2025 Sensitive Information Disclosure,ATLAS:T0051,high
Customer Intake,TA0001,T1566,T1566.001,LLM01:2025 Prompt Injection,ATLAS:T0051,critical
Document Extraction,TA0009,T1592,T1592.002,LLM01:2025 Prompt Injection,ATLAS:T0043,high
Credit Risk,TA0004,T1078,T1078.004,LLM08:2025 Excessive Agency,ATLAS:T0054,critical
Compliance Verification,TA0002,T1059,T1059.004,LLM07:2025 Insecure Plugin Design,ATLAS:T0057,critical
Customer Intake,TA0005,T1048,T1048.001,LLM06:2025 Sensitive Information Disclosure,ATLAS:T0056,high
Compliance Verification,TA0008,T1490,T1490.001,LLM08:2025 Excessive Agency,ATLAS:T0062,critical
