id,name,description,severity,maestro_layers,atlas_techniques,llm_relationship
ASI01,Agent Goal Hijack,Attacker alters an agent's objectives or decision path through malicious content in the agent's planning or reasoning context,Critical,L3|L4,AML.T0051|AML.T0054|AML.T0055,LLM01|LLM06
ASI02,Tool Misuse and Exploitation,Agent's tool access is abused to perform unauthorised actions beyond intended scope,Critical,L4,AML.T0043|AML.T0050|AML.T0064,LLM06
ASI03,Agent Identity and Privilege Abuse,Agent identity is spoofed or privileges are abused to gain unauthorised access in multi-agent systems,Critical,L5|L6,AML.T0058|AML.T0062,LLM08
ASI04,Agentic Supply Chain Compromise,"Malicious components introduced via plugins, tools, models, or datasets in the AI supply chain",Critical,L1|L7,AML.T0048|AML.T0049|AML.T0018,LLM03
ASI05,Unexpected Code Execution,"Agent executes arbitrary code via code execution tools, achieving sandbox escape or host access",Critical,L4,AML.T0064|AML.T0065,LLM06
ASI06,Memory and Context Poisoning,"Agent's persistent memory or context window is poisoned, corrupting reasoning across sessions",High,L2|L3,AML.T0055|AML.T0056|AML.T0057,LLM01|LLM04
ASI07,Insecure Inter-Agent Communication,"Messages between agents are spoofed, intercepted, or manipulated due to lack of authentication or integrity controls",Critical,L5,AML.T0045|AML.T0046|AML.T0058,LLM08
ASI08,Cascading Agent Failures,"Failures or attacks propagate through multi-agent pipelines, amplifying impact across the system",High,L5|L6,AML.T0029|AML.T0040|AML.T0046,LLM04|LLM10
ASI09,Human-Agent Trust Exploitation,Agent manipulates human operators into approving harmful actions through overconfident or misleading outputs,High,L6,AML.T0063,LLM09
ASI10,Rogue Agents,"Compromised, misaligned, or drifting agents operate autonomously in unintended and harmful ways",Critical,L5|L6,AML.T0026|AML.T0060|AML.T0061,LLM06
