technique_id,technique_name,tactic_name,kill_chain_stage,execution_mode,target_agent,scenario_week,is_top_10,severity,cvss_score,owasp_llm,practitioner_narrative,rogue_actor_story,risk_statement,threat_hunt_steps,threat_hunt_spl
AML.T0000,ML Model Feature Inference via API,Reconnaissance,Reconnaissance,SIMULATED,acme-agent-intake-001,,false,Medium,5.3,LLM03,Teach practitioners how ML Model Feature Inference via API manifests in agentic banking workflows. Map to OWASP LLM03 and hunt using the provided SPL.,"The adversary advances the Reconnaissance phase using ML Model Feature Inference via API. In a multi-agent banking environment, this targets inference_api, model_endpoint to achieve: Reveals model architecture enabling targeted evasion or extraction attacks",CVSS 5.3 (Medium): Reveals model architecture enabling targeted evasion or extraction attacks,"Establish scope: `acme_genai_index` technique_id=AML.T0000 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'inference_api_query_rate > baseline_sigma_3' in raw events. || Control efficacy: filter defenseclaw_action=RATE_LIMIT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0000"" | stats count by agent.id span=1m | where count > 50"
AML.T0001,AI Model Inference via Direct Access,Reconnaissance,Reconnaissance,SIMULATED,acme-agent-intake-001,,false,Medium,5.0,LLM03,Teach practitioners how AI Model Inference via Direct Access manifests in agentic banking workflows. Map to OWASP LLM03 and hunt using the provided SPL.,"The adversary advances the Reconnaissance phase using AI Model Inference via Direct Access. In a multi-agent banking environment, this targets model_weights, model_file_store to achieve: Full model capability mapping without API rate limits",CVSS 5.0 (Medium): Full model capability mapping without API rate limits,"Establish scope: `acme_genai_index` technique_id=AML.T0001 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'model_file_read_by_unauthorized_principal' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0001"" | table _time agent.id event_type"
AML.T0002,AI Model Inference via Passive Collection,Reconnaissance,Reconnaissance,SIMULATED,acme-agent-intake-001,,false,Medium,4.0,LLM02,Teach practitioners how AI Model Inference via Passive Collection manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Reconnaissance phase using AI Model Inference via Passive Collection. In a multi-agent banking environment, this targets network_traffic, shared_logs, output_cache to achieve: Model capability map built without direct interaction",CVSS 4.0 (Medium): Model capability map built without direct interaction,"Establish scope: `acme_genai_index` technique_id=AML.T0002 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'unusual_log_export_volume' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0002"""
AML.T0003,System Prompt Discovery,Reconnaissance,Reconnaissance,SIMULATED,acme-agent-intake-001,,false,High,6.5,LLM07,Teach practitioners how System Prompt Discovery manifests in agentic banking workflows. Map to OWASP LLM07 and hunt using the provided SPL.,"The adversary advances the Reconnaissance phase using System Prompt Discovery. In a multi-agent banking environment, this targets system_prompt, agent_context to achieve: Reveals guardrail structure enabling targeted bypass",CVSS 6.5 (High): Reveals guardrail structure enabling targeted bypass,"Establish scope: `acme_genai_index` technique_id=AML.T0003 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'output_contains_system_prompt_fragment' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0003"" galileo_check=""PROMPT_LEAK_DETECTED"""
AML.T0004,Search for Victim AI Infrastructure,Reconnaissance,Reconnaissance,SIMULATED,acme-agent-intake-001,,false,Low,3.7,,Teach practitioners how Search for Victim AI Infrastructure manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Reconnaissance phase using Search for Victim AI Infrastructure. In a multi-agent banking environment, this targets model_endpoint, vector_db, mlflow_server to achieve: Identifies attack surface for subsequent exploitation",CVSS 3.7 (Low): Identifies attack surface for subsequent exploitation,"Establish scope: `acme_genai_index` technique_id=AML.T0004 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'port_scan_targeting_ai_ports' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0004"""
AML.T0005,AI Model OSINT Collection,Reconnaissance,Reconnaissance,SIMULATED,acme-agent-intake-001,,false,Low,3.1,,Teach practitioners how AI Model OSINT Collection manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Reconnaissance phase using AI Model OSINT Collection. In a multi-agent banking environment, this targets public_model_card, github_repo, job_postings to achieve: Targeted attack planning using known vulnerabilities of identified model",CVSS 3.1 (Low): Targeted attack planning using known vulnerabilities of identified model,"Establish scope: `acme_genai_index` technique_id=AML.T0005 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'model_identifier_in_public_leak' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0005"""
AML.T0010,Obtain Capabilities: AI Tools,Initial Access,InitialAccess,HYBRID,acme-agent-docingest-002,,false,Medium,6.0,,Teach practitioners how Obtain Capabilities: AI Tools manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the InitialAccess phase using Obtain Capabilities: AI Tools. In a multi-agent banking environment, this targets model_registry, training_pipeline, developer_tools to achieve: Establishes foothold in AI development pipeline via compromised tooling",CVSS 6.0 (Medium): Establishes foothold in AI development pipeline via compromised tooling,"Establish scope: `acme_genai_index` technique_id=AML.T0010 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'unsigned_model_artifact_loaded' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0010"" agent.aibom_validated=""false"""
AML.T0012,Valid ML Service Credential Abuse,Initial Access,InitialAccess,HYBRID,acme-agent-docingest-002,,false,High,8.1,LLM08,Teach practitioners how Valid ML Service Credential Abuse manifests in agentic banking workflows. Map to OWASP LLM08 and hunt using the provided SPL.,"The adversary advances the InitialAccess phase using Valid ML Service Credential Abuse. In a multi-agent banking environment, this targets api_key_store, oauth_provider, model_api to achieve: Unauthorized model access; potential for training data extraction or model abuse at victim's cost",CVSS 8.1 (High): Unauthorized model access; potential for training data extraction or model abuse at victim's cost,"Establish scope: `acme_genai_index` technique_id=AML.T0012 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'api_key_used_from_anomalous_ip' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0012"" | stats dc(source_ip) as unique_ips by api_key | where unique_ips > 3"
AML.T0048,AI System Supply Chain Compromise,Initial Access,InitialAccess,LIVE,acme-agent-docingest-002,3,true,Critical,9.1,LLM05,Teach practitioners how AI System Supply Chain Compromise manifests in agentic banking workflows. Map to OWASP LLM05 and hunt using the provided SPL.,"The adversary advances the InitialAccess phase using AI System Supply Chain Compromise. In a multi-agent banking environment, this targets training_dataset, base_model, ml_library, plugin_registry to achieve: Persistent backdoor in production AI system from trusted supply chain source",CVSS 9.1 (Critical): Persistent backdoor in production AI system from trusted supply chain source,"Establish scope: `acme_genai_index` technique_id=AML.T0048 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'model_hash_mismatch_vs_aibom_baseline' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0048"" cisco_aibom_status=""HASH_MISMATCH"""
AML.T0049,Publish Poisoned AI Agent Tool,Initial Access,InitialAccess,HYBRID,acme-agent-docingest-002,,false,Critical,8.8,,Teach practitioners how Publish Poisoned AI Agent Tool manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the InitialAccess phase using Publish Poisoned AI Agent Tool. In a multi-agent banking environment, this targets mcp_tool_registry, plugin_marketplace, agent_tool_scope to achieve: Persistent RCE within agent tool sandbox; data exfiltration capability",CVSS 8.8 (Critical): Persistent RCE within agent tool sandbox; data exfiltration capability,"Establish scope: `acme_genai_index` technique_id=AML.T0049 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'mcp_tool_invoked_not_in_approved_allowlist' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0049"" defenseclaw_action=""HARD_DENY"""
